"DOID","DO_pval"
"DOID:10652","0.11"
"DOID:1240","0.16"
"DOID:162","0.53"
"DOID:1909","0.15"
"DOID:3275","0.01"
"DOID:5419","0.17"
"DOID:1749","0.14"
"DOID:3310","0.03"
"DOID:3459","0.11"
"DOID:3908","0.02"
"DOID:684","0.16"
"DOID:7148","0.12"
"DOID:848","0.13"
"DOID:3858","0.02"
"DOID:4971","0.02"
"DOID:4","0.3"
"DOID:326","0.07"
"DOID:114","0.08"
"DOID:1168","0.01"
"DOID:1936","0.01"
"DOID:225","0.32"
"DOID:3347","0.05"
"DOID:3905","0.03"
"DOID:3963","0.03"
"DOID:5082","0.01"
"DOID:5844","0.06"
"DOID:2355","0.04"
"DOID:5223","0.02"
