"","GO"
"GAPDH","GO:0005515"
"GAPDH","GO:0042802"
"ENO1","GO:0003700"
"ENO1","GO:0005515"
"EEF2","GO:0005515"
"EEF2","GO:0019901"
"RPL8","GO:0003723"
"LDHB","GO:0005515"
"EEF1A1","GO:0000049"
"EEF1A1","GO:0005515"
"EEF1A1","GO:0019901"
"FN1","GO:0005515"
"FN1","GO:0002020"
"RPS18","GO:0005515"
"RPS19","GO:0042803"
"RPS19","GO:0005515"
"RPS19","GO:0017134"
"RPS19","GO:0019901"
"RPLP0","GO:0003723"
"RPLP0","GO:0005515"
"RPL19","GO:0003723"
"HSP90AB1","GO:0030235"
"HSP90AB1","GO:0005515"
"HSP90AB1","GO:0019900"
"BCL10","GO:0019901"
"BCL10","GO:0005515"
"BCL10","GO:0002020"
"BCL10","GO:0019900"
"KIT","GO:0005515"
"KIT","GO:0042803"
"STK11","GO:0005515"
"FGFR3","GO:0017134"
"FGFR3","GO:0005515"
"STK10","GO:0042803"
"STK10","GO:0005515"
"STK10","GO:0042802"
"ATF7IP","GO:0005515"
"DMRT1","GO:0042803"
"ESR1","GO:0005515"
"ESR1","GO:0042802"
"ESR1","GO:0003700"
"ESR1","GO:0030235"
"ESR2","GO:0003700"
"ESR2","GO:0005515"
"KITLG","GO:0005515"
"POLG","GO:0005515"
"POLG","GO:0002020"
"TERT","GO:0000049"
"TERT","GO:0042803"
"TERT","GO:0005515"
"TERT","GO:0003723"
