"Gene1","Gene2"
"RPS3A","EEF1A1"
"RPS29","RPS11"
"RPS28","RPLP1"
"RPL41","EEF1A1"
"RPS11","RPS19"
"RPL41","RPS11"
"RPS29","RPL37A"
"RPL31","RPL12"
"RPL37A","RPS18"
"RPS16","RPS19"
"RPS10","RPS19"
"RPL31","RPS25"
"RPL41","RPL37A"
"RPS3A","RPS25"
"RPS10","RPL13"
"RPL13","RPS15"
"RPS29","RPS19"
"RPL41","RPS29"
"RPS28","RPS16"
"RPS3A","RPS29"
"RPS3A","RPS10"
"RPL12","RPL37A"
"RPL13","RPLP0"
"RPS10","RPS11"
"RPS28","RPL12"
"RPS29","EEF1A1"
"RPS28","RPS29"
"RPS3A","RPS18"
"RPS16","RPS2"
"RPS3A","RPL31"
"RPS10","RPS29"
"RPS25","RPS17"
"RPS29","RPLP1"
"RPS28","RPLP0"
"RPLP0","RPS19"
"RPL13","RPL8"
"RPL18","RPL8"
"RPL18","RPS19"
"RPL12","RPL13"
"RPS16","RPLP1"
"RPS2","RPS19"
"RPL41","RPS18"
"RPS4X","RPS3A"
"RPS15","RPS19"
"RPS16","RPS29"
"RPL41","RPLP1"
"RPL13","RPS29"
"RPL41","RPS10"
"RPS11","RPS18"
"RPL13","RPS18"
"RPLP1","RPS18"
"RPS10","RPLP0"
"RPL37A","RPLP1"
"RPS2","RPL8"
"RPL41","RPLP0"
"RPS29","RPS18"
"RPS2","RPLP1"
"LDHA","ENO1"
"RPS15","RPS11"
"RPL13","RPL19"
"RPS3A","RPL12"
"RPS10","RPLP1"
"RPL28","RPLP0"
"RPL31","RPS29"
"RPS10","RPS2"
"RPS10","RPS15"
"RPS11","RPLP0"
"RPS25","RPS29"
"RPS10","RPL8"
"RPS16","RPS10"
"RPL18","RPS25"
"RPL18","RPS16"
"RPS25","RPLP1"
"RPLP1","RPLP0"
"RPS28","RPS10"
"RPS11","RPS2"
"RPS10","RPS17"
"RPL18","RPS10"
"RPL18","RPLP0"
"RPS16","RPLP0"
"RPS29","RPLP0"
"RPS2","RPLP0"
"RPL12","RPS2"
"RPL12","RPS18"
"RPS11","EEF1A1"
"RPS28","RPS19"
"RPL37A","RPLP0"
"RPS10","RPL37A"
"RPS28","RPS25"
"RPL18","RPL12"
"RPS11","RPL19"
"RPS9","RPL8"
"RPLP1","EEF1A1"
"RPS11","RPLP1"
"RPLP1","RPS19"
"RPL12","RPS15"
"RPS2","GAPDH"
"RPS25","RPS11"
"RPS18","EEF1A1"
"RPS25","RPS16"
"RPS4X","EEF1A1"
"RPL8","RPS19"
"RPS3A","RPS11"
"RPS9","RPL28"
"RPS3A","RPS16"
"RPS16","RPL13"
"RPS29","RPS17"
"RPS28","RPS18"
"RPS10","RPS18"
"RPL41","RPS3A"
"RPL12","RPLP0"
"RPS3A","RPL37A"
"RPS3A","RPLP0"
"RPL12","RPS11"
"RPLP0","GAPDH"
"RPLP0","EEF1A1"
"RPL28","RPLP1"
"RPL37A","GAPDH"
"RPL18","RPS15"
"RPL41","RPS15"
"RPS25","RPL12"
"RPL12","RPS10"
"RPS9","RPS29"
"RPS4X","RPS19"
"RPS16","EEF1A1"
"RPS28","RPS11"
"RPS9","RPL12"
"RPS29","RPL28"
"RPS15","RPLP0"
"RPS16","RPS18"
"RPL12","RPLP1"
"RPS4X","RPLP1"
"RPS29","RPS15"
"RPL12","RPS17"
"RPL12","RPS19"
"RPS4X","RPL37A"
"RPLP0","RPS18"
"RPS18","RPS19"
"RPS9","RPS10"
"RPL28","RPS19"
"RPL18","RPL13"
"RPS9","RPS16"
"RPS28","RPS9"
"RPS11","RPL37A"
"RPS29","RPS2"
"RPL37A","EEF1A1"
"RPL41","RPL13"
"RPS10","EEF1A1"
"RPL31","RPS10"
"RPS2","RPL19"
"EEF1A1","GAPDH"
"RPL13","RPS19"
"RPL12","RPS29"
"RPL12","RPL28"
"RPS29","RPL19"
"RPS15","RPL8"
"RPL41","RPS2"
"RPL12","RPL8"
"RPS25","RPS2"
"RPL28","RPL8"
"RPS4X","RPL18"
"RPS15","RPS18"
"RPS28","RPL19"
"RPS3A","RPS15"
"RPS16","RPS11"
"RPS3A","RPL19"
"RPS3A","RPS17"
"RPL19","RPS19"
"RPL28","RPS2"
"RPL18","RPS18"
"RPL31","RPS18"
"RPLP0","RPS17"
"RPL41","RPS19"
"RPL37A","RPL19"
"RPLP1","RPL19"
"RPS16","RPL37A"
"RPL12","RPL19"
"RPS2","RPS18"
"RPS16","RPS15"
"RPS9","RPLP0"
"RPL31","RPLP0"
"RPL18","RPS9"
"RPS4X","RPL13"
"RPS16","RPL8"
"RPS28","RPL13"
"RPL18","RPL28"
"RPL41","GAPDH"
"RPS10","RPL28"
"RPL31","RPS16"
"RPS28","RPS2"
"RPS2","EEF1A1"
"RPS4X","RPS29"
"RPL18","RPS29"
"RPL31","RPL19"
"RPS4X","RPS11"
"ENO1","GAPDH"
"RPS15","RPS2"
"RPS15","RPL19"
"RPS16","RPL28"
"RPL13","RPS17"
"RPL18","RPL19"
"RPS4X","RPS16"
"RPL41","RPL12"
"RPL31","RPL8"
"RPS4X","RPS25"
"RPS25","RPL13"
"RPS9","RPS19"
"RPL37A","RPS2"
"RPS4X","RPLP0"
"RPL37A","RPL8"
"RPL18","RPS2"
"RPL31","RPS9"
"RPLP1","RPL8"
"RPL13","RPS2"
"RPS28","RPL31"
"RPL12","EEF2"
"RPL12","RPS16"
"RPS25","RPL37A"
"RPL28","RPS15"
"RPS18","GAPDH"
"RPS10","RPL19"
"RPS25","RPS10"
"RPLP1","RPS17"
"RPS28","RPS15"
"RPS25","RPS9"
"RPL31","RPS15"
"RPS25","RPS19"
"RPS29","GAPDH"
"RPS9","RPS11"
"RPS25","RPS18"
"RPL41","RPS16"
"RPS25","RPL19"
"RPS29","RPL8"
"RPL28","RPL19"
"RPS4X","RPL41"
"RPS3A","RPLP1"
"RPS28","RPL37A"
"RPL18","RPS11"
"RPLP1","GAPDH"
"RPS28","EEF2"
"RPS9","RPL19"
"RPS11","RPL8"
"RPL41","RPS17"
"RPS9","RPS2"
"RPS16","RPL19"
"RPL18","RPS28"
"RPS4X","RPS18"
"RPLP0","RPL8"
"RPS18","RPL8"
"RPS10","GAPDH"
"RPL18","RPL41"
"RPL13","RPL28"
"RPS28","RPS17"
"RPL41","RPS28"
"RPL18","RPLP1"
"RPS15","RPS17"
"RPL28","EEF1A1"
"RPL41","RPL31"
"RPS16","RPS17"
"RPS15","GAPDH"
"RPS25","RPS15"
"RPL13","RPLP1"
"RPS3A","RPS9"
"RPS28","RPL28"
"RPL8","RPS17"
"RPL41","RPL19"
"RPS9","RPS15"
"RPS19","RPS17"
"RPS9","RPS18"
"RPL12","EEF1A1"
"RPS4X","RPS15"
"RPS3A","RPL13"
"RPL19","RPS18"
"RPS4X","RPS2"
"RPS28","RPL8"
"LDHA","GAPDH"
"RPL28","RPS18"
"RPL31","RPLP1"
"RPS3A","RPS2"
"RPS4X","RPL28"
"RPS25","EEF1A1"
"RPS15","EEF2"
"RPS15","RPL37A"
"RPS9","RPS17"
"RPL31","RPS2"
"RPLP0","RPL19"
"RPL19","RPS17"
"RPS4X","RPL19"
"RPS15","RPLP1"
"RPS9","RPLP1"
"RPL19","EEF1A1"
"RPL31","RPS17"
"RPS25","RPLP0"
"RPS3A","EEF2"
"RPS4X","RPL12"
"RPS4X","RPL31"
"RPS4X","RPS28"
"RPL31","EEF1A1"
"RPS4X","RPS10"
"RPS4X","GAPDH"
"RPS2","RPS17"
"RPLP1","EEF2"
"RPL41","RPL28"
"RPS18","RPS17"
"RPL31","RPS11"
"RPL37A","RPS19"
"EEF2","RPL8"
"RPL12","GAPDH"
"RPL13","RPL37A"
"GAPDH","RPS19"
"RPS25","EEF2"
"RPL13","RPS11"
"RPLP0","EEF2"
"RPL8","GAPDH"
"RPL41","RPL8"
"RPL19","RPL8"
"RPS3A","RPS19"
"RPL41","RPS9"
"HSP90AB1","ENO1"
"RPS9","RPL13"
"RPS25","GAPDH"
"RPL28","GAPDH"
"RPS16","GAPDH"
"RPL41","RPS25"
"RPL18","RPS17"
"RPS9","EEF2"
"EEF1A1","RPS19"
"RPL18","RPS3A"
"RPL19","EEF2"
"RPS25","RPL28"
"RPS3A","RPL28"
"RPL19","GAPDH"
"RPL31","EEF2"
"EEF1A1","RPS17"
"RPS4X","RPS9"
"RPL31","RPL37A"
"RPS2","EEF2"
"RPS28","EEF1A1"
"RPL31","RPL28"
"RPL18","EEF2"
"RPS4X","RPS17"
"RPS15","EEF1A1"
"RPL37A","RPS17"
"EEF2","EEF1A1"
"RPS25","RPL8"
"RPS10","EEF2"
"RPS9","EEF1A1"
"RPS9","RPL37A"
"RPL18","EEF1A1"
"RPS16","EEF2"
