"Gene1","Gene2"
"LDHA","LDHB"
"KIT","KITLG"
"RPL28","RPL8"
"RPL8","ATF7IP"
"RPLP1","RPL19"
"RPS4X","RPS17"
"RPS25","RPL8"
"RPLP1","RPLP0"
"RPS4X","RPS15"
"RPS29","RPS15"
"RPS4X","RPS11"
"EEF1A1","GAPDH"
"RPL18","RPL13"
"ESR1","HSP90AB1"
"RPS4X","RPS10"
"RPS4X","RPS19"
"RPS4X","RPS9"
"RPS25","RPS15"
"RPS15","RPS19"
"RPL13","RPL19"
"RPS4X","RPS16"
"ENO1","GAPDH"
"RPS15","RPS2"
"RPS4X","RPS18"
"RPS10","RPS29"
"RPS9","RPS29"
"RPL18","RPLP0"
"RPS10","RPS15"
"RPS4X","RPS2"
"RPLP0","RPL19"
"RPS9","RPS15"
"RPS9","ESR1"
"RPS29","RPL28"
"RPL18","ESR1"
"RPL28","RPS19"
"ESR1","RPLP0"
"RPS29","RPS17"
"RPL28","RPS18"
"RPS10","RPL28"
"RPL13","RPLP0"
"RPL28","RPS2"
"RPS3A","RPL28"
"HSP90AB1","ENO1"
"RPS4X","ESR1"
"RPS16","RPS29"
"RPL28","ESR1"
"RPS10","RPS11"
"RPL12","ESR1"
"RPL13","ESR1"
"ESR1","RPL8"
"ESR1","RPS18"
"RPL37A","ESR1"
"ESR1","RPL19"
"RPS16","ESR1"
"ESR1","GAPDH"
"RPS3A","ESR1"
"RPS2","ESR1"
"HSP90AB1","STK11"
"LDHA","ESR1"
"ESR1","ENO1"
"ESR1","RPS17"
"HSP90AB1","FGFR3"
"RPS10","ESR1"
"RPS25","ESR1"
"ESR1","EEF2"
"RPS11","ESR1"
"RPL31","ESR1"
"ESR1","RPS19"
"ESR1","EEF1A1"
"RPS11","RPS2"
"RPS25","RPS10"
"RPS28","RPS9"
"RPS11","ESR2"
"RPS25","RPS9"
"RPL8","FGFR3"
"RPS28","RPS25"
"RPS10","RPS19"
"RPS9","RPS19"
"RPS15","RPS18"
"RPS28","RPS19"
"RPS25","RPS19"
"RPS16","RPS10"
"RPS3A","RPS10"
"RPS9","RPS16"
"RPS4X","RPS28"
"RPS28","RPS16"
"RPS10","RPS2"
"RPS3A","RPS9"
"RPS4X","RPS25"
"RPS18","ESR2"
"RPS25","RPS16"
"RPS9","RPS11"
"RPS15","FN1"
"RPL28","FN1"
"RPL31","FN1"
"RPS3A","RPS25"
"RPS28","RPS2"
"RPS9","RPS2"
"RPS25","RPS2"
"RPS16","RPS19"
"RPS3A","RPS19"
"RPS9","RPS17"
"RPS2","RPS19"
"RPS10","RPLP1"
"RPLP1","RPS17"
"RPS4X","RPS3A"
"FN1","GAPDH"
"RPS3A","RPS16"
"RPS28","RPS29"
"RPS16","RPS2"
"RPS15","RPS17"
"RPS3A","RPS2"
"RPS29","RPS19"
"RPS25","RPS29"
"RPS15","RPLP1"
"ENO1","TERT"
"RPS29","RPS18"
"RPS4X","RPS29"
"RPS28","RPS18"
"RPS28","RPS10"
"RPLP0","ESR2"
"RPS10","RPLP0"
"RPS18","RPS19"
"RPS29","RPS2"
"RPS25","RPS18"
"RPS3A","RPS29"
"RPS28","RPS17"
"RPS28","RPS3A"
"RPS10","RPS18"
"RPS16","RPS18"
"RPS25","RPS17"
"RPS9","RPL8"
"RPS3A","HSP90AB1"
"RPS2","RPS18"
"RPL8","RPS17"
"RPS25","RPLP1"
"RPS28","RPS15"
"RPS28","RPL13"
"RPS3A","RPS18"
"RPS9","RPS18"
"HSP90AB1","RPLP0"
"RPS9","RPS10"
"RPS25","RPL13"
"RPS9","RPL12"
"RPL12","RPS17"
"LDHA","HSP90AB1"
"RPL12","RPLP1"
"RPS11","RPLP1"
"RPL37A","RPS17"
"RPL12","RPL13"
"RPL31","RPS17"
"RPS25","RPLP0"
"RPL31","RPS10"
"RPLP0","RPL8"
"RPL18","RPS9"
"RPL18","RPS17"
"RPL13","RPL37A"
"HSP90AB1","EEF2"
"RPS9","RPL19"
"FN1","RPS17"
"FN1","RPS19"
"FN1","ENO1"
"FN1","EEF1A1"
"FN1","LDHB"
"FN1","RPL8"
"FN1","EEF2"
"FN1","RPS18"
"FN1","RPLP0"
"FN1","HSP90AB1"
"RPS2","FN1"
"RPS11","FN1"
"LDHA","FN1"
"RPL13","FN1"
"RPS10","FN1"
"RPS16","FN1"
"RPL12","FN1"
"RPS9","FN1"
"RPS25","FN1"
"RPS3A","FN1"
"RPS28","FN1"
"RPL18","FN1"
"RPS4X","FN1"
"RPL19","RPS17"
"RPLP1","RPS19"
"RPS28","RPL12"
"RPS11","RPLP0"
"RPS16","RPS17"
"RPS3A","RPS17"
"RPS25","RPL12"
"RPL12","RPL8"
"RPS16","RPLP1"
"RPL31","RPLP0"
"RPS3A","RPLP1"
"RPS28","RPL37A"
"RPL12","EEF2"
"RPS16","RPS15"
"RPS16","HSP90AB1"
"RPS16","RPL13"
"RPS3A","RPL13"
"RPS3A","RPS15"
"RPS25","RPL37A"
"RPS4X","RPLP1"
"RPL18","RPS28"
"RPS2","RPS17"
"RPS4X","RPL13"
"RPL12","RPS11"
"RPL31","RPL8"
"RPS28","RPL19"
"RPL12","RPL37A"
"RPL31","EEF2"
"RPS2","RPLP1"
"RPL18","RPS25"
"RPL18","RPL8"
"RPS2","HSP90AB1"
"RPL31","RPL12"
"RPS16","RPLP0"
"RPL13","RPS2"
"RPS25","RPL19"
"RPS3A","RPLP0"
"RPL18","EEF2"
"RPS11","RPL37A"
"EEF2","RPS19"
"RPL19","RPL8"
"RPL18","RPL12"
"RPL31","RPS11"
"RPL12","RPS19"
"RPS4X","RPLP0"
"RPL31","RPL37A"
"RPL12","RPL19"
"RPS16","RPL8"
"RPL18","RPS11"
"RPS11","RPS19"
"RPS16","EEF2"
"RPL18","RPL37A"
"RPS3A","RPL8"
"RPS2","RPLP0"
"RPL37A","RPS19"
"RPS11","RPL19"
"RPS3A","EEF2"
"RPL12","RPS16"
"RPL18","RPL31"
"RPS4X","RPL8"
"RPL31","RPS19"
"RPL37A","RPL19"
"RPS4X","ESR2"
"RPS4X","EEF2"
"RPS3A","RPL12"
"RPL31","RPL19"
"RPS16","RPS11"
"RPS4X","RPL12"
"RPL18","RPS19"
"RPS3A","RPS11"
"RPS16","RPL37A"
"RPS2","RPL8"
"RPL18","RPL19"
"RPL19","RPS19"
"RPS2","EEF2"
"RPL31","RPS16"
"RPS3A","RPL37A"
"RPS3A","RPL31"
"RPL12","RPS2"
"RPS4X","RPL37A"
"RPL18","RPS16"
"RPS4X","RPL31"
"HSP90AB1","GAPDH"
"RPL18","RPS3A"
"RPS16","RPL19"
"RPS4X","RPL18"
"RPL37A","RPS2"
"RPS3A","ATF7IP"
"RPS4X","HSP90AB1"
"RPS3A","RPL19"
"RPL31","RPS2"
"RPS4X","RPL19"
"RPL18","RPS2"
"EEF2","EEF1A1"
"RPS2","RPL19"
"RPL12","EEF1A1"
"RPS11","EEF1A1"
"RPLP1","EEF1A1"
"RPL31","EEF1A1"
"EEF1A1","RPS19"
"RPS10","RPS17"
"RPL18","EEF1A1"
"RPS16","EEF1A1"
"RPS3A","EEF1A1"
"RPS11","RPS17"
"RPS4X","EEF1A1"
"RPS19","RPS17"
"RPS2","EEF1A1"
"ESR1","ESR2"
