"Gene Symbol","miRNA","Validated"
"ALK","hsa-miR-494","0"
"PODN","hsa-miR-210","0"
"ALK","hsa-miR-96","0"
"ALK","hsa-miR-451","0"
"ALK","hsa-miR-616","0"
"ALK","hsa-miR-204","0"
"DCD","hsa-miR-370","0"
"PODN","hsa-miR-106a","0"
"DCD","hsa-miR-596","0"
"PODN","hsa-miR-184","0"
"PODN","hsa-miR-93","0"
"ALK","hsa-miR-186","0"
"FLNA","hsa-miR-183","0"
"ACPP","hsa-miR-204","0"
"KLK3","hsa-miR-504","0"
"ACPP","hsa-miR-96","0"
"HSPA1A","hsa-miR-19a","0"
"ACPP","hsa-miR-26b","0"
"EEF1A1","hsa-miR-616","0"
"SEMG2","hsa-miR-21","0"
"ACPP","hsa-miR-33b","0"
"KLK3","hsa-miR-433","0"
"KLK3","hsa-miR-182","0"
"TPT1","hsa-miR-616","0"
"ACPP","hsa-let-7e","0"
"ACPP","hsa-miR-212","0"
"HSPA1A","hsa-miR-186","0"
"ACPP","hsa-miR-433","0"
"EEF2","hsa-miR-183","0"
"FLNA","hsa-miR-135b","0"
"ACPP","hsa-miR-616","0"
"HSPA1A","hsa-miR-146a","0"
"MYLK","hsa-miR-23a","0"
"MYLK","hsa-miR-20b","0"
"ACPP","hsa-let-7i","0"
"EEF1A1","hsa-miR-106b","0"
"EEF2","hsa-miR-335","0"
"ACTA2","hsa-miR-27b","0"
"TPT1","hsa-miR-106b","0"
"KLK3","hsa-miR-133b","0"
"FOSB","hsa-miR-203","0"
"EGR1","hsa-miR-203","0"
"MYLK","hsa-miR-27b","0"
"EEF1A1","hsa-miR-33b","0"
"MYLK","hsa-miR-203","0"
"ACTB","hsa-miR-18a","0"
"AZGP1","hsa-miR-23a","0"
"MYLK","hsa-miR-877","0"
"MYLK","hsa-miR-424","0"
"EEF1A1","hsa-miR-186","0"
"TAGLN","hsa-miR-98","0"
"MYLK","hsa-miR-155","0"
"FLNA","hsa-miR-34b","0"
"OLFM4","hsa-miR-146a","0"
"EEF1A1","hsa-miR-152","0"
"ACTB","hsa-miR-451","0"
"TAGLN","hsa-miR-31","0"
"NPY","hsa-miR-33a","0"
"NPY","hsa-miR-33b","0"
"CALD1","hsa-miR-23a","0"
"SEMG2","hsa-miR-494","0"
"NPY","hsa-miR-206","0"
"ACTB","hsa-miR-320a","1"
"RPLP1","hsa-miR-616","0"
"FLNA","hsa-let-7d","0"
"CSRP1","hsa-miR-155","0"
"ACPP","hsa-miR-940","0"
"SEMG2","hsa-miR-133b","0"
"SEMG2","hsa-miR-130a","0"
"HSPA1A","hsa-miR-130a","0"
"KLK3","hsa-miR-422a","0"
"KLK3","hsa-miR-1293","0"
"NPY","hsa-miR-27b","0"
"FLNA","hsa-miR-146a","0"
"KLK3","hsa-miR-302c","0"
"KLK3","hsa-miR-302d","0"
"KLK3","hsa-miR-384","0"
"KLK3","hsa-miR-617","0"
"KLK3","hsa-miR-630","0"
"KLK3","hsa-miR-637","0"
"KLK3","hsa-miR-802","0"
"KLK3","hsa-miR-632","0"
"SEMG2","hsa-miR-145","0"
"SEMG2","hsa-miR-595","0"
"SEMG2","hsa-miR-638","0"
"EGR1","hsa-miR-23a","0"
"FLNA","hsa-miR-205","0"
"SLC45A3","hsa-miR-335","0"
"FLNA","hsa-let-7c","0"
"FLNA","hsa-miR-206","0"
"ACPP","hsa-miR-15b","0"
"KLK3","hsa-miR-185","0"
"GAPDH","hsa-miR-18a","0"
"FLNA","hsa-miR-484","1"
"SEMG2","hsa-miR-659","0"
"TAGLN","hsa-miR-659","0"
"FLNA","hsa-miR-503","0"
"EEF2","hsa-miR-320a","1"
"ACPP","hsa-miR-135b","0"
"FLNA","hsa-let-7e","0"
"HSPA1A","hsa-miR-217","0"
"ACTB","hsa-miR-147b","0"
"AZGP1","hsa-miR-23b","0"
"ACPP","hsa-let-7b","0"
"HSPA1A","hsa-miR-181d","0"
"ACTB","hsa-miR-484","1"
"TAGLN","hsa-miR-935","0"
"ACPP","hsa-miR-15a","0"
"RPLP1","hsa-miR-23a","0"
"ACPP","hsa-miR-612","0"
"MYLK","hsa-miR-98","0"
"ACTB","hsa-miR-326","1"
"TAGLN","hsa-miR-181c","0"
"FLNA","hsa-miR-562","0"
"FLNA","hsa-miR-608","0"
"FLNA","hsa-miR-637","0"
"FLNA","hsa-miR-650","0"
"ACTB","hsa-miR-205","0"
"HSPA1A","hsa-miR-449a","0"
"EEF2","hsa-miR-484","1"
"ACTB","hsa-miR-147","0"
"ACTB","hsa-miR-608","0"
"ACTB","hsa-miR-617","0"
"ACTB","hsa-miR-1303","1"
"ACTB","hsa-miR-943","0"
"ACTB","hsa-miR-636","0"
"ACTA2","hsa-miR-181c","0"
"FLNA","hsa-miR-34c","0"
"RPS6","hsa-miR-577","0"
"ACPP","hsa-miR-596","0"
"A2M","hsa-miR-34b","0"
"FLNA","hsa-miR-940","0"
"A2M","hsa-miR-639","0"
"FLNA","hsa-let-7g","0"
"HSPA1A","hsa-miR-657","0"
"FLNA","hsa-miR-765","0"
"EEF1A1","hsa-miR-20b","0"
"TAGLN","hsa-miR-328","0"
"FLNA","hsa-miR-370","0"
"ACTA2","hsa-miR-27a","0"
"TAGLN","hsa-let-7i","0"
"ACTB","hsa-miR-422a","0"
"NPY","hsa-miR-381","0"
"SEMG2","hsa-miR-760","0"
"AZGP1","hsa-miR-940","0"
"ACPP","hsa-miR-147","0"
"ACPP","hsa-miR-384","0"
"ACPP","hsa-miR-562","0"
"ACPP","hsa-miR-626","0"
"ACPP","hsa-miR-637","0"
"ACPP","hsa-miR-661","0"
"ACPP","hsa-miR-662","0"
"ACPP","hsa-miR-802","0"
"HSPA1A","hsa-let-7g","0"
"ACPP","hsa-miR-195","0"
