"Entrez ID","miRNA"
"GAPDH","hsa-miR-296"
"GAPDH","hsa-miR-675"
"GAPDH","hsa-miR-155"
"GAPDH","hsa-miR-18a"
"GAPDH","hsa-miR-326"
"ENO1","hsa-miR-143"
"ENO1","hsa-miR-491"
"EEF2","hsa-miR-632"
"RPL8","hsa-miR-34a"
"ENO1","hsa-miR-32"
"LDHB","hsa-miR-146a"
"RPL8","hsa-miR-152"
"ENO1","hsa-miR-22"
"LDHB","hsa-miR-760"
"LDHB","hsa-miR-210"
"EEF1A1","hsa-miR-148b"
"LDHB","hsa-miR-559"
"FN1","hsa-miR-137"
"EEF1A1","hsa-miR-33b"
"EEF1A1","hsa-miR-181c"
"LDHB","hsa-miR-130a"
"LDHB","hsa-miR-23a"
"FN1","hsa-miR-802"
"RPS18","hsa-miR-34a"
"RPS19","hsa-miR-892b"
"RPL8","hsa-miR-504"
"FN1","hsa-miR-618"
"LDHB","hsa-miR-23b"
"RPLP0","hsa-miR-892b"
"RPL8","hsa-miR-760"
"EEF1A1","hsa-miR-152"
"RPL8","hsa-miR-214"
"RPL8","hsa-miR-34b"
"RPS17","hsa-miR-23a"
"RPL8","hsa-miR-197"
"RPL19","hsa-miR-520g"
"HSP90AB1","hsa-miR-559"
