"Gene Symbol","miRNA","Validated"
"MRPS31","hsa-miR-618","0"
"ZNF862","hsa-miR-520e","0"
"ZNF862","hsa-miR-433","0"
"ZNF862","hsa-miR-379","0"
"ZNF280C","hsa-miR-421","1"
"ZNF862","hsa-miR-520g","0"
"CLEC3B","hsa-miR-760","0"
"MRPS31","hsa-let-7g","0"
"CLEC3B","hsa-miR-29a","0"
"MRPS31","hsa-let-7c","0"
"CLEC3B","hsa-miR-637","0"
"ZNF280C","hsa-miR-384","0"
"ZNF280C","hsa-miR-562","0"
"MRPS31","hsa-let-7e","0"
"ZNF862","hsa-miR-520c","0"
"ZNF862","hsa-miR-520h","0"
"CLEC3B","hsa-miR-498","0"
"ZNF862","hsa-miR-520b","0"
"ZNF280C","hsa-miR-141","0"
"ZNF862","hsa-miR-212","0"
"MRPS31","hsa-let-7b","0"
"EEF2","hsa-miR-489","0"
"EEF2","hsa-miR-197","0"
"COL1A1","hsa-miR-30a","0"
"COL1A1","hsa-miR-150","0"
"EEF1A1","hsa-miR-126","0"
"RPL8","hsa-miR-133b","0"
"PABPC1","hsa-miR-133b","0"
"EEF2","hsa-miR-346","0"
"HSP90AA1","hsa-miR-491","0"
"FN1","hsa-miR-1293","0"
"FTL","hsa-miR-133b","0"
"RPLP1","hsa-miR-448","0"
"RPS4X","hsa-miR-489","0"
"COL1A1","hsa-miR-212","0"
"COL1A1","hsa-miR-498","0"
"GAPDH","hsa-miR-320a","1"
"TPT1","hsa-miR-1262","0"
"ENO1","hsa-miR-346","0"
"EEF2","hsa-miR-132","0"
"PABPC1","hsa-miR-26b","0"
"RPS6","hsa-miR-605","0"
"LYZ","hsa-miR-206","0"
"RPS4X","hsa-miR-197","0"
"TUBB","hsa-miR-605","0"
"GAPDH","hsa-miR-155","0"
"RPLP1","hsa-miR-23b","0"
"FN1","hsa-miR-429","0"
"MKRN1","hsa-miR-605","0"
"RPS24","hsa-miR-489","0"
"ACTB","hsa-miR-326","1"
"RPS19","hsa-miR-618","0"
"GAPDH","hsa-miR-18a","0"
"TPT1","hsa-miR-489","0"
"PABPC1","hsa-miR-186","0"
"HSP90AB1","hsa-miR-181d","0"
"PSAP","hsa-miR-301b","0"
"LYZ","hsa-miR-21","0"
"GAPDH","hsa-miR-326","0"
"COL3A1","hsa-let-7e","0"
"RPL8","hsa-miR-197","0"
"FTL","hsa-miR-185","0"
"HSP90AB1","hsa-miR-96","0"
"RPL8","hsa-miR-320a","1"
"PSAP","hsa-miR-148a","0"
"RPS6","hsa-miR-618","0"
"TPT1","hsa-miR-92b","0"
"EEF1A1","hsa-miR-186","0"
"EEF1A1","hsa-miR-148a","0"
"CTSB","hsa-miR-1262","0"
"B2M","hsa-miR-223","0"
"HSP90AA1","hsa-miR-148a","0"
"EEF2","hsa-miR-96","0"
"ENO1","hsa-miR-22","0"
"HSP90AA1","hsa-miR-616","0"
"EEF2","hsa-miR-335","0"
"ACTB","hsa-miR-18a","0"
"GAPDH","hsa-miR-484","1"
"EEF1A1","hsa-miR-520c","0"
"COL1A1","hsa-let-7c","0"
"HSP90AB1","hsa-miR-320a","1"
"RPL8","hsa-miR-148a","0"
"COL1A1","hsa-miR-98","0"
"COL3A1","hsa-miR-183","0"
"EEF1A1","hsa-miR-377","0"
"HSP90AB1","hsa-miR-27b","0"
"EEF1A1","hsa-miR-616","0"
"COL1A1","hsa-let-7e","0"
"HSP90AA1","hsa-miR-421","1"
"PABPC1","hsa-miR-27a","0"
"HSP90AA1","hsa-miR-760","1"
"COL1A1","hsa-miR-107","0"
"GAPDH","hsa-miR-198","0"
"RPLP1","hsa-miR-200a","0"
"RPL30","hsa-miR-346","1"
"ACTB","hsa-miR-205","0"
"B2M","hsa-miR-301b","0"
"HLA-A","hsa-miR-92b","0"
"RPS24","hsa-miR-765","0"
"FTL","hsa-miR-622","0"
"FN1","hsa-miR-185","0"
"RPLP0","hsa-miR-26b","0"
"FTL","hsa-miR-301b","0"
"EEF1A1","hsa-miR-20a","0"
"ENO1","hsa-miR-32","0"
"FTL","hsa-miR-326","0"
"EEF2","hsa-miR-183","0"
"EEF1A1","hsa-miR-106a","0"
"RPS4X","hsa-miR-26b","0"
"HLA-B","hsa-miR-223","0"
"PABPC1","hsa-miR-32","0"
"COL1A1","hsa-let-7b","0"
"COL3A1","hsa-miR-562","0"
"COL3A1","hsa-miR-620","0"
"EEF1A1","hsa-miR-106b","0"
"EEF1A1","hsa-miR-33a","0"
"PABPC1","hsa-miR-27b","0"
"RPLP1","hsa-miR-148a","0"
"RPS16","hsa-miR-605","0"
"GAPDH","hsa-miR-617","0"
"LDHB","hsa-miR-335","0"
"FTL","hsa-miR-224","0"
"RPS19","hsa-miR-326","0"
"EEF1A1","hsa-miR-612","0"
"RPL8","hsa-miR-504","0"
"ENO1","hsa-miR-491","0"
"ACTB","hsa-miR-943","0"
"COL3A1","hsa-miR-98","0"
"ENO1","hsa-miR-626","0"
"RPS3","hsa-miR-504","0"
"ACTB","hsa-miR-451","0"
"FTL","hsa-miR-617","0"
"RPL37A","hsa-miR-877","0"
"RPL8","hsa-miR-34b","0"
"TPT1","hsa-miR-618","0"
"RPS18","hsa-miR-421","1"
"COL1A1","hsa-miR-659","0"
"COL1A1","hsa-miR-422a","0"
"COL3A1","hsa-miR-29c","1"
"EEF2","hsa-miR-224","0"
"RPL11","hsa-miR-137","0"
"EEF1A1","hsa-miR-520e","0"
"RPS6","hsa-miR-10b","0"
"RPL19","hsa-miR-192","0"
"GAPDH","hsa-miR-675","0"
"COL1A1","hsa-miR-203","0"
"RPLP1","hsa-miR-616","0"
"ENO1","hsa-miR-484","1"
"COL3A1","hsa-miR-29a","1"
"RPLP1","hsa-miR-320a","1"
"ENO1","hsa-miR-143","0"
"COL3A1","hsa-let-7b","0"
"EEF1A1","hsa-miR-421","1"
"HLA-B","hsa-miR-372","0"
"HSP90AA1","hsa-miR-375","1"
"EEF1A1","hsa-miR-34c","0"
"HLA-B","hsa-miR-302d","0"
"FN1","hsa-miR-200b","0"
"ACTB","hsa-miR-221","0"
"TPT1","hsa-miR-130a","0"
"EEF1A1","hsa-miR-662","0"
"LDHB","hsa-miR-23b","0"
"EEF1A1","hsa-miR-569","0"
"EEF1A1","hsa-miR-608","0"
"FTL","hsa-miR-503","0"
"FTH1","hsa-miR-605","0"
"RPLP0","hsa-miR-320a","0"
"COL1A1","hsa-miR-29c","1"
"PSAP","hsa-miR-181d","0"
"ACTB","hsa-miR-636","0"
"COL3A1","hsa-let-7c","0"
"ACTB","hsa-miR-617","0"
"ACTB","hsa-miR-608","0"
"ACTB","hsa-miR-147","0"
"ACTB","hsa-miR-422a","0"
"HLA-B","hsa-miR-92b","0"
"COL3A1","hsa-miR-96","0"
"COL1A1","hsa-miR-132","0"
"EEF1A1","hsa-miR-451","0"
"RPS17","hsa-miR-320a","1"
"EEF2","hsa-miR-212","0"
"RPL37","hsa-miR-30d","0"
"EEF2","hsa-miR-617","0"
"EEF2","hsa-miR-620","0"
"ACTB","hsa-miR-320a","1"
"FTL","hsa-miR-636","0"
"COL3A1","hsa-let-7i","0"
"COL3A1","hsa-miR-182","0"
"ACTB","hsa-miR-145","0"
"LYZ","hsa-miR-146a","0"
"EEF1A1","hsa-miR-22","0"
"COL1A1","hsa-let-7i","0"
"RPL30","hsa-miR-877","0"
"FN1","hsa-miR-200c","0"
"COL1A1","hsa-miR-26b","0"
"GAPDH","hsa-miR-296","0"
"RPS18","hsa-miR-638","0"
"TPT1","hsa-miR-146a","0"
"RPS4X","hsa-miR-424","0"
"FTL","hsa-miR-675","0"
"EEF1A1","hsa-miR-373","0"
"FN1","hsa-miR-708","0"
"LDHB","hsa-miR-659","0"
"COL3A1","hsa-miR-381","0"
"FN1","hsa-miR-145","0"
"PSAP","hsa-miR-130a","0"
"LYZ","hsa-miR-630","0"
"TPT1","hsa-miR-616","0"
"HLA-B","hsa-miR-200c","0"
"EEF1A1","hsa-miR-20b","0"
"PSAP","hsa-miR-205","0"
"RPS19","hsa-miR-370","0"
"HSP90AB1","hsa-miR-518b","0"
"RPS3","hsa-miR-503","0"
"PABPC1","hsa-miR-631","0"
"FN1","hsa-miR-613","0"
"RPL32","hsa-miR-192","0"
"RPL32","hsa-miR-217","0"
"FN1","hsa-miR-217","0"
"RPS18","hsa-miR-449a","0"
"COL1A1","hsa-miR-29a","0"
"HSP90AB1","hsa-miR-379","0"
"RPL30","hsa-miR-320a","1"
"RPS3","hsa-miR-27b","0"
"RPLP1","hsa-miR-141","0"
"FTH1","hsa-miR-200b","0"
"ACTB","hsa-miR-1303","1"
"PABPC1","hsa-miR-935","0"
"PABPC1","hsa-miR-146a","0"
"B2M","hsa-miR-650","0"
"B2M","hsa-miR-620","0"
"B2M","hsa-miR-626","0"
"RPL37A","hsa-miR-622","0"
"FN1","hsa-miR-608","0"
"COL3A1","hsa-let-7d","0"
"TPT1","hsa-miR-27a","0"
"RPS6","hsa-miR-195","0"
"TPT1","hsa-miR-143","0"
"RPL8","hsa-miR-760","0"
"EEF2","hsa-miR-320a","1"
"RPL8","hsa-miR-214","0"
"COL1A1","hsa-miR-182","0"
"HSP90AA1","hsa-miR-148b","0"
"HSP90AB1","hsa-miR-381","0"
"RPS6","hsa-miR-335","0"
"ACTB","hsa-miR-147b","0"
"EEF1A1","hsa-miR-520g","0"
"RPL37A","hsa-miR-185","0"
"HSP90AA1","hsa-miR-484","1"
"FN1","hsa-miR-96","0"
"RPS4X","hsa-miR-130a","0"
"FN1","hsa-miR-298","0"
"RPL37A","hsa-miR-342","0"
"B2M","hsa-miR-130a","0"
"TUBB","hsa-miR-424","0"
"ACTB","hsa-miR-34a","0"
"TUBB","hsa-miR-200b","0"
"EEF1A1","hsa-miR-520h","0"
"RPS6","hsa-miR-34b","0"
"COL1A2","hsa-miR-19a","0"
"HSP90AB1","hsa-miR-370","0"
"PSAP","hsa-miR-613","0"
"CTSB","hsa-miR-186","0"
"EIF3CL","hsa-miR-195","0"
"RPS24","hsa-miR-1262","0"
"RPS18","hsa-miR-34a","0"
"EEF1A1","hsa-miR-520b","0"
"PSAP","hsa-miR-224","0"
"RPS4X","hsa-miR-10b","0"
"RPS6","hsa-miR-203","0"
"COL1A1","hsa-miR-143","0"
"FTL","hsa-miR-22","0"
"LYZ","hsa-miR-34b","0"
"TPT1","hsa-miR-373","0"
"TUBB","hsa-miR-200a","0"
"RPS6","hsa-miR-421","0"
"EEF2","hsa-miR-193b","0"
"TPT1","hsa-miR-106a","0"
"HSP90AB1","hsa-miR-935","0"
"TPT1","hsa-miR-27b","0"
"RPLP0","hsa-miR-1303","0"
"EEF2","hsa-miR-296","0"
"PSAP","hsa-miR-633","0"
"COL1A2","hsa-miR-342","0"
"RPLP1","hsa-miR-155","0"
"AFP","hsa-miR-659","0"
"PSAP","hsa-miR-34b","0"
"TPT1","hsa-miR-203","0"
"RPL19","hsa-miR-215","0"
"AFP","hsa-miR-342","0"
"COL1A1","hsa-miR-185","0"
"COL1A2","hsa-let-7b","0"
"HSP90AB1","hsa-miR-99a","0"
"COL1A1","hsa-miR-195","0"
"RPS19","hsa-miR-892b","0"
"HLA-B","hsa-miR-155","0"
"ITM2C","hsa-miR-147b","0"
"RPL32","hsa-miR-215","0"
"FN1","hsa-miR-146a","0"
"EEF1A1","hsa-miR-93","0"
"TPT1","hsa-miR-657","0"
"HSP90AB1","hsa-miR-181c","0"
"TPT1","hsa-miR-302d","0"
"RPS4X","hsa-miR-148a","0"
"RPL8","hsa-miR-631","0"
"TPT1","hsa-miR-298","0"
"CTSB","hsa-miR-27b","0"
"B2M","hsa-miR-181c","0"
"RPL8","hsa-miR-603","0"
"B2M","hsa-miR-618","0"
"COL3A1","hsa-let-7g","0"
"PSAP","hsa-miR-210","0"
"COL1A1","hsa-miR-192","0"
"ACTB","hsa-miR-375","0"
"PSAP","hsa-miR-330","0"
"TPT1","hsa-miR-147","0"
"B2M","hsa-miR-520h","0"
"TUBB","hsa-miR-320a","1"
"TRIM28","hsa-miR-126","0"
"RPL30","hsa-miR-657","0"
"COL1A1","hsa-let-7d","0"
"AFP","hsa-miR-185","0"
"FN1","hsa-miR-448","0"
"PABPC1","hsa-miR-375","0"
"HLA-B","hsa-miR-520h","0"
"CTSB","hsa-miR-935","0"
"RPS12","hsa-miR-489","0"
"TPT1","hsa-miR-106b","0"
"FN1","hsa-miR-27a","0"
"COL3A1","hsa-miR-186","0"
"CTSB","hsa-miR-96","0"
"EEF1A1","hsa-miR-181c","0"
"RPS17","hsa-miR-484","0"
"TRIM28","hsa-miR-491","0"
"COL1A2","hsa-let-7c","0"
"LDHB","hsa-miR-210","0"
"COL1A2","hsa-let-7e","0"
"AFP","hsa-miR-126","0"
"RPS3","hsa-miR-22","0"
"AFP","hsa-miR-620","0"
"FTH1","hsa-miR-224","0"
"AFP","hsa-miR-491","0"
"RPS6","hsa-miR-613","0"
"RPS18","hsa-miR-484","1"
"RPS4X","hsa-miR-99b","0"
"RPS6","hsa-miR-147","0"
"RPS6","hsa-miR-633","0"
